correct_answer,student_answer,error_type
Meeatto botakanda balanava,Balanawa meeatto botakanda,word_order_error
Topan irapojja tibenava,Topan tibenava irapojja,word_order_error
Topan irapojja tibenava,Irapojja topan tibenava,word_order_error
Topan irapojja tibenava,Irapojja tibenava topan,word_order_error
Topan irapojja tibenava,Tibenava topan irapojja,word_order_error
Topan irapojja tibenava,Tibenava irapojja topan,word_order_error
botakanda,botakandaa,spelling_error
botakanda,botakundaa,spelling_error
malia,malai,spelling_error
malia,mallia,spelling_error
ajjejja,ajjeja,spelling_error
ajjejja,ajejja,spelling_error
kankunaa,kankuna,spelling_error
kankunaa,kankuuraa,spelling_error
kankunaa,kangkanaa,spelling_error
karia,karai,spelling_error
hatera,hateraa,spelling_error
okma,okmmaa,spelling_error
okma,omka,spelling_error
kandaarni,kandarni,spelling_error
mundi,muundi,spelling_error
potti,potii,spelling_error
potti,ppotti,spelling_error
makini,makinni,spelling_error
ikini,ikni,spelling_error
ikini,ikinii,spelling_error
ayrukula,ayruukula,spelling_error
ugurudanda,ugurudana,spelling_error
kirigejja,kirigeja,spelling_error
kavitana,kavittana,spelling_error
giniracca,giniraca,spelling_error
barapojja,barapojjaa,spelling_error
barapojja,barappoja,spelling_error
ekama,ekmama,spelling_error
ekamak,ekmak,spelling_error
dekamak,dekamawk,spelling_error
tunamay,tunamaya,spelling_error
meeatto,meiato,spelling_error
meeatto,meeattoo,spelling_error
topan,topun,spelling_error
topan,toppan,spelling_error
koyba,kayba,spelling_error
eyaba,eybaba,spelling_error
puccakaduvaa,pucakaduvaa,spelling_error
anaganapan,anagananpan,spelling_error
botadamanya,botadamaanya,spelling_error
indine,indinie,spelling_error
diyaracca,diyaraca,spelling_error
ajjejja,ajjejha,spelling_error
ijjejja,ijjajja,spelling_error
ijjejja,ijjeja,spelling_error
okma,okmaa,spelling_error
okma,ookma,spelling_error
botakanda,botakkanda,spelling_error
botakanda,botakndaa,spelling_error
kankunaa,kangkunaa,spelling_error
kandaarni,kandaarnii,spelling_error
kandaarni,kandaarna,spelling_error
mundi,mundii,spelling_error
mundi,undi,spelling_error
potti,poti,spelling_error
potti,pootti,spelling_error
giniraacca,giniracca,spelling_error
giniraaccaa,giniracca,spelling_error
giniraaccaa,giniraacaa,spelling_error
pannilaatto,panilaatto,spelling_error
pannilaatto,pannilaat,spelling_error
deyyalaatto,deyalaatto,spelling_error
deyyalaatto,deyyalaato,spelling_error
irapojja,irapooja,spelling_error
irapojja,iroojja,spelling_error
bara,baara,spelling_error
bara,brara,spelling_error
barapojja,barapooja,spelling_error
barapojja,barapajja,spelling_error
ayrukula,ayrukkula,spelling_error
ayrukula,ayrukolla,spelling_error
ugurudanda,ugurudandaa,spelling_error
ugurudanda,uguruddanda,spelling_error
veedipojja,veedippoja,spelling_error
veedipojja,veedipooja,spelling_error
kirigejja,kirigejaa,spelling_error
kirigejja,kirigejjaa,spelling_error
kavitana,kavritana,spelling_error
galrakki,galraakki,spelling_error
galrakki,glarakki,spelling_error
caalava,caalvava,spelling_error
caalava,aalava,spelling_error
bucca,buca,spelling_error
bucca,buccaa,spelling_error
meeatto,meatto,spelling_error
meeatto,meaatto,spelling_error
topan,toopan,spelling_error
topan,topann,spelling_error
eyaba,eayaba,spelling_error
eyaba,eyabaa,spelling_error
koyba,koymba,spelling_error
koyba,koybba,spelling_error
huura,huurra,spelling_error
huura,huuraa,spelling_error
Meeatto okma balanava,Meeatto okma bulanava,spelling_error
Meeatto okma balanava,Meeato okma balanava,spelling_error
Meeatto okma balanava,Meeatto okmaa balanava,spelling_error
Meeatto okma balanava,Meeatto okma balnava,spelling_error
Meeatto okma balanava,Meeatto okmma balanava,spelling_error
Topan diyaracca balanava,Topan diyaracca balonava,spelling_error
Topan diyaracca balanava,Topan diyaracca balanav,spelling_error
Topan diyaracca balanava,Topan dyaracca balanava,spelling_error
Topan diyaracca balanava,Topan diaracca balanava,spelling_error
Topan diyaracca balanava,Topan diyaracca balanava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniracca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto gnniraacca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniraaca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto ginraacca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniraacca tibenav,spelling_error
Topan kankunaa puccakaduvaa,Topan kankuna puccakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kangkunaa puccakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa puccakduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa pucakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa puccakaduvaa,spelling_error
Meeatto mundi balanava,Meeatto mudi balanava,spelling_error
Meeatto mundi balanava,Meeatto mundii balanava,spelling_error
Meeatto mundi balanava,Meeatto mmundi balanava,spelling_error
Meeatto mundi balanava,Meeatto mundy balanava,spelling_error
Meeatto mundi balanava,Meeatto mundi balnava,spelling_error
Topan potti balanava,Topan poti balanava,spelling_error
Topan potti balanava,Topan pootti balanava,spelling_error
Topan potti balanava,Topan potti balava,spelling_error
Topan potti balanava,Topan potti balanva,spelling_error
Topan potti balanava,Topan potti bkalava,spelling_error
Meeatto pannilaatto tibenava,Meeatto panilaatto tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaato tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaatto tibenav,spelling_error
Meeatto pannilaatto tibenava,Meeatto pennilaatto tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaatto tibenaa,spelling_error
Topan deyyalaatto balanava,Topan deyalaatto balanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto balnav,spelling_error
Topan deyyalaatto balanava,Topan deyyalaato balanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto bulanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigejjaa balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kihigejja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigeja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirijejja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigejha balanava,spelling_error
Topan irapojja tibenava,Topan irapojja tibenav,spelling_error
Topan irapojja tibenava,Topan irapooja tibenava,spelling_error
Topan irapojja tibenava,Topan irapojja tibnenava,spelling_error
Topan irapojja tibenava,Topan irapojaj tibenava,spelling_error
Topan irapojja tibenava,Topan iropojja tibenava,spelling_error
Meeatto botakanda balanava,Meeatto botakkandaa balanava,spelling_error
Meeatto botakanda balanava,Meeatto botakndaa balanava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda balnava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda bulanava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda balanava,spelling_error
Topan potti tibenava,Topan poti tibenava,spelling_error
Topan potti tibenava,Topan pootti tibenava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balanava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balnava,spelling_error
Meeatto kandaarni balanava,Meeatto kandarni balanava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balanva,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balnva,spelling_error
Meeatto okma balanava,Meeatto okma balanava,spelling_error
Topan irapojja tibenava,Topan irapojja,missing_word
Topan irapojja tibenava,Topan tibenava,missing_word
Topan irapojja tibenava,irapojja tibenava,missing_word
Meeatto pannilaatto tibenava,panilaatto tibenava,missing_word
Meeatto pannilaatto tibenava,Meeatto tibenava,missing_word
Meeatto pannilaatto tibenava,Meeatto panilaatto,missing_word
Meeatto kandaarni balanava,Meeatto kandaarni,missing_word
Meeatto kandaarni balanava,kandaarni balanava,missing_word
Meeatto kandaarni balanava,Meeatto balanava,missing_word
dandDukacca,danddukacca,spelling_error
mon-ekaa-da,mon-ekaa-da,spelling_error
kaevillaeva,kaevillavaeva,spelling_error
Meeatto thanamak katha daamu,Meeato thanamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meetto thanamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thanak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thanama katha daamu,spelling_error
Meeattonta leda pojja mandovela,Meeatonta leda pojja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meettonta leda pojja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda poja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja mandvela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja mandovla,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja madovela,spelling_error
Meeatto thanamak katha daamu,Meeatto thanamak daamu katha,word_order_error
Meeatto thanamak katha daamu,Meeatto katha thanamak daamu,word_order_error
Meeatto thanamak katha daamu,Meeatto katha daamu thanamak,word_order_error
Meeatto thanamak katha daamu,Meeatto daamu thanamak katha,word_order_error
Meeatto thanamak katha daamu,Meeatto daamu katha thanamak,word_order_error
Meeatto thanamak katha daamu,Thanamak meeatto katha daamu,word_order_error
Meeatto thanamak katha daamu,Thanamak meeatto daamu katha,word_order_error
Meeatto thanamak katha daamu,Thanamak katha meeatto daamu,word_order_error
Meeatto thanamak katha daamu,Thanamak katha daamu meeatto,word_order_error
Meeatto thanamak katha daamu,Thanamak daamu meeatto katha,word_order_error
Meeatto thanamak katha daamu,Thanamak daamu katha meeatto,word_order_error
Meeatto thanamak katha daamu,Katha meeatto thanamak daamu,word_order_error
Meeatto thanamak katha daamu,Katha meeatto daamu thanamak,word_order_error
Meeatto thanamak katha daamu,Katha thanamak meeatto daamu,word_order_error
Meeatto thanamak katha daamu,Katha thanamak daamu meeatto,word_order_error
Meeatto thanamak katha daamu,Katha daamu meeatto thanamak,word_order_error
Meeatto thanamak katha daamu,Katha daamu thanamak meeatto,word_order_error
Meeatto thanamak katha daamu,Daamu meeatto thanamak katha,word_order_error
Meeatto thanamak katha daamu,Daamu meeatto katha thanamak,word_order_error
Meeatto thanamak katha daamu,Daamu thanamak meeatto katha,word_order_error
Meeatto thanamak katha daamu,Daamu thanamak katha meeatto,word_order_error
Meeatto thanamak katha daamu,Daamu katha meeatto thanamak,word_order_error
Meeatto thanamak katha daamu,Daamu katha thanamak meeatto,word_order_error
Meeattonta leda pojja mandovela,Meeattonta leda mandovela pojja,word_order_error
Meeattonta leda pojja mandovela,Meeattonta pojja leda mandovela,word_order_error
Meeattonta leda pojja mandovela,Meeattonta pojja mandovela leda,word_order_error
Meeattonta leda pojja mandovela,Meeattonta mandovela leda pojja,word_order_error
Meeattonta leda pojja mandovela,Meeattonta mandovela pojja leda,word_order_error
Meeattonta leda pojja mandovela,Leda meeattonta pojja mandovela,word_order_error
Meeattonta leda pojja mandovela,Leda meeattonta mandovela pojja,word_order_error
Meeattonta leda pojja mandovela,Leda pojja meeattonta mandovela,word_order_error
Meeattonta leda pojja mandovela,Leda pojja mandovela meeattonta,word_order_error
Meeattonta leda pojja mandovela,Leda mandovela meeattonta pojja,word_order_error
Meeattonta leda pojja mandovela,Leda mandovela pojja meeattonta,word_order_error
Meeattonta leda pojja mandovela,Pojja meeattonta leda mandovela,word_order_error
Meeattonta leda pojja mandovela,Pojja meeattonta mandovela leda,word_order_error
Meeattonta leda pojja mandovela,Pojja leda meeattonta mandovela,word_order_error
Meeattonta leda pojja mandovela,Pojja leda mandovela meeattonta,word_order_error
Meeattonta leda pojja mandovela,Pojja mandovela meeattonta leda,word_order_error
Meeattonta leda pojja mandovela,Pojja mandovela leda meeattonta,word_order_error
Meeattonta leda pojja mandovela,Mandovela meeattonta leda pojja,word_order_error
Meeattonta leda pojja mandovela,Mandovela meeattonta pojja leda,word_order_error
Meeattonta leda pojja mandovela,Mandovela leda meeattonta pojja,word_order_error
Meeattonta leda pojja mandovela,Mandovela leda pojja meeattonta,word_order_error
Meeattonta leda pojja mandovela,Mandovela pojja meeattonta leda,word_order_error
Meeattonta leda pojja mandovela,Mandovela pojja leda meeattonta,word_order_error
Meeatto thanamak katha daamu,Meeatto thanamak katha,missing_word
Meeatto thanamak katha daamu,Meeatto thanamak daamu,missing_word
Meeatto thanamak katha daamu,Meeatto katha daamu,missing_word
Meeatto thanamak katha daamu,Thanamak katha daamu,missing_word
Meeatto thanamak katha daamu,Meeatto thanamak,missing_word
Meeatto thanamak katha daamu,Meeatto katha,missing_word
Meeatto thanamak katha daamu,Meeatto daamu,missing_word
Meeatto thanamak katha daamu,Thanamak katha,missing_word
Meeatto thanamak katha daamu,Thanamak daamu,missing_word
Meeatto thanamak katha daamu,Katha daamu,missing_word
Meeattonta leda pojja mandovela,Meeattonta leda pojja,missing_word
Meeattonta leda pojja mandovela,Meeattonta leda mandovela,missing_word
Meeattonta leda pojja mandovela,Meeattonta pojja mandovela,missing_word
Meeattonta leda pojja mandovela,Leda pojja mandovela,missing_word
Meeattonta leda pojja mandovela,Meeattonta leda,missing_word
Meeattonta leda pojja mandovela,Meeattonta pojja,missing_word
Meeattonta leda pojja mandovela,Meeattonta mandovela,missing_word
Meeattonta leda pojja mandovela,Leda pojja,missing_word
Meeattonta leda pojja mandovela,Leda mandovela,missing_word
Meeattonta leda pojja mandovela,Pojja mandovela,missing_word
manl olmn isrt,manl olmn isrt plisa,missing_word
manl olmn isrt,manl olmn isrt extra,missing_word
manl olmn isrt,extra manl olmn isrt,missing_word
Topan irapojja tibenava,Topan irapojja tibenava extra,missing_word
Topan irapojja tibenava,extra Topan irapojja tibenava,missing_word
Topan irapojja tibenava,Topan extra irapojja tibenava,missing_word
Meeatto botakanda balanava,Meeatto botakanda balanava extra,missing_word
Meeatto botakanda balanava,extra Meeatto botakanda balanava,missing_word
Meeatto botakanda balanava,Meeatto extra botakanda balanava,missing_word
Api iskole yanava,Api iskole yanava extra,missing_word
Api iskole yanava,extra Api iskole yanava,missing_word
Mama gedara yanava,Mama gedara yanava extra,missing_word
Mama gedara yanava,extra Mama gedara yanava,missing_word
Oya kama kanna epa,Oya kama kanna epa extra,missing_word
Oya kama kanna epa,extra Oya kama kanna epa,missing_word
Lamai parak balanne,Lamai parak balanne extra,missing_word
Lamai parak balanne,extra Lamai parak balanne,missing_word
Apita vatura one,Apita vatura one extra,missing_word
Apita vatura one,extra Apita vatura one,missing_word
Eyaa pothak kiyavanava,Eyaa pothak kiyavanava extra,missing_word
Eyaa pothak kiyavanava,extra Eyaa pothak kiyavanava,missing_word
Malli rata yanava,Malli rata yanava extra,missing_word
Malli rata yanava,extra Malli rata yanava,missing_word
Akka kade giya,Akka kade giya extra,missing_word
Akka kade giya,extra Akka kade giya,missing_word
Amma bat uvava,Amma bat uvava extra,missing_word
Amma bat uvava,extra Amma bat uvava,missing_word
Thaatta gaha kapanava,Thaatta gaha kapanava extra,missing_word
Thaatta gaha kapanava,extra Thaatta gaha kapanava,missing_word
Nangi gee kiyanava,Nangi gee kiyanava extra,missing_word
Nangi gee kiyanava,extra Nangi gee kiyanava,missing_word
Aiya veda karanava,Aiya veda karanava extra,missing_word
Aiya veda karanava,extra Aiya veda karanava,missing_word
Balla vegediya badinava,Balla vegediya badinava extra,missing_word
Balla vegediya badinava,extra Balla vegediya badinava,missing_word
Puusa mas kanava,Puusa mas kanava extra,missing_word
Puusa mas kanava,extra Puusa mas kanava,missing_word
botakanda,botakanda extra,missing_word
malia,malia extra,missing_word
okma,okma extra,missing_word
Kanko makl jao osds,Kanko jao osds makl,word_order_error
Kanko makl jao osds,Makl kanko jao osds,word_order_error
Kanko makl jao osds,Jao kanko makl osds,word_order_error
Kanko makl jao osds,Osds makl jao kanko,word_order_error
Kanko makl jao osds,Makl jao kanko osds,word_order_error
Kanko makl jao osds,Jao osds kanko makl,word_order_error
Kanko makl jao osds,Osds jao makl kanko,word_order_error
Kanko makl jao osds,Jao makl osds kanko,word_order_error
Kanko makl jao osds,Osds kanko jao makl,word_order_error
Kanko makl jao osds,Makl osds kanko jao,word_order_error
Api iskole yanava,Api yanava iskole,word_order_error
Api iskole yanava,Iskole api yanava,word_order_error
Api iskole yanava,Iskole yanava api,word_order_error
Api iskole yanava,Yanava api iskole,word_order_error
Api iskole yanava,Yanava iskole api,word_order_error
Mata poth kiyavanna one,Mata kiyavanna poth one,word_order_error
Mata poth kiyavanna one,Poth mata kiyavanna one,word_order_error
Mata poth kiyavanna one,Kiyavanna mata poth one,word_order_error
Mata poth kiyavanna one,One mata poth kiyavanna,word_order_error
Mata poth kiyavanna one,Poth kiyavanna one mata,word_order_error
Mata poth kiyavanna one,Kiyavanna one mata poth,word_order_error
Mama gedara yanava,Mama yanava gedara,word_order_error
Mama gedara yanava,Gedara mama yanava,word_order_error
Mama gedara yanava,Gedara yanava mama,word_order_error
Mama gedara yanava,Yanava mama gedara,word_order_error
Mama gedara yanava,Yanava gedara mama,word_order_error
Oya kama kanna epa,Oya kanna kama epa,word_order_error
Oya kama kanna epa,Kama oya kanna epa,word_order_error
Oya kama kanna epa,Kanna oya kama epa,word_order_error
Oya kama kanna epa,Epa oya kama kanna,word_order_error
Oya kama kanna epa,Kama kanna epa oya,word_order_error
Lamai parak balanne,Lamai balanne parak,word_order_error
Lamai parak balanne,Parak lamai balanne,word_order_error
Lamai parak balanne,Parak balanne lamai,word_order_error
Lamai parak balanne,Balanne lamai parak,word_order_error
Lamai parak balanne,Balanne parak lamai,word_order_error
Apita vatura one,Apita one vatura,word_order_error
Apita vatura one,Vatura apita one,word_order_error
Apita vatura one,Vatura one apita,word_order_error
Apita vatura one,One apita vatura,word_order_error
Apita vatura one,One vatura apita,word_order_error
Eyaa pothak kiyavanava,Eyaa kiyavanava pothak,word_order_error
Eyaa pothak kiyavanava,Pothak eyaa kiyavanava,word_order_error
Eyaa pothak kiyavanava,Pothak kiyavanava eyaa,word_order_error
Eyaa pothak kiyavanava,Kiyavanava eyaa pothak,word_order_error
Eyaa pothak kiyavanava,Kiyavanava pothak eyaa,word_order_error
Malli rata yanava,Malli yanava rata,word_order_error
Malli rata yanava,Rata malli yanava,word_order_error
Malli rata yanava,Rata yanava malli,word_order_error
Malli rata yanava,Yanava malli rata,word_order_error
Malli rata yanava,Yanava rata malli,word_order_error
Akka kade giya,Akka giya kade,word_order_error
Akka kade giya,Kade akka giya,word_order_error
Akka kade giya,Kade giya akka,word_order_error
Akka kade giya,Giya akka kade,word_order_error
Akka kade giya,Giya kade akka,word_order_error
Poddak inna,Inna poddak,word_order_error
Amma bat uvava,Amma uvava bat,word_order_error
Amma bat uvava,Bat amma uvava,word_order_error
Amma bat uvava,Bat uvava amma,word_order_error
Amma bat uvava,Uvava amma bat,word_order_error
Amma bat uvava,Uvava bat amma,word_order_error
Thaatta gaha kapanava,Thaatta kapanava gaha,word_order_error
Thaatta gaha kapanava,Gaha thaatta kapanava,word_order_error
Thaatta gaha kapanava,Gaha kapanava thaatta,word_order_error
Thaatta gaha kapanava,Kapanava thaatta gaha,word_order_error
Thaatta gaha kapanava,Kapanava gaha thaatta,word_order_error
Nangi gee kiyanava,Nangi kiyanava gee,word_order_error
Nangi gee kiyanava,Gee nangi kiyanava,word_order_error
Nangi gee kiyanava,Gee kiyanava nangi,word_order_error
Nangi gee kiyanava,Kiyanava nangi gee,word_order_error
Nangi gee kiyanava,Kiyanava gee nangi,word_order_error
Aiya veda karanava,Aiya karanava veda,word_order_error
Aiya veda karanava,Veda aiya karanava,word_order_error
Aiya veda karanava,Veda karanava aiya,word_order_error
Aiya veda karanava,Karanava aiya veda,word_order_error
Aiya veda karanava,Karanava veda aiya,word_order_error
Balla vegediya badinava,Balla badinava vegediya,word_order_error
Balla vegediya badinava,Vegediya balla badinava,word_order_error
Balla vegediya badinava,Vegediya badinava balla,word_order_error
Balla vegediya badinava,Badinava balla vegediya,word_order_error
Balla vegediya badinava,Badinava vegediya balla,word_order_error
Puusa mas kanava,Puusa kanava mas,word_order_error
Puusa mas kanava,Mas puusa kanava,word_order_error
Puusa mas kanava,Mas kanava puusa,word_order_error
Puusa mas kanava,Kanava puusa mas,word_order_error
Puusa mas kanava,Kanava mas puusa,word_order_error
Kurulla piyabanava,Piyabanava kurulla,word_order_error
Lamaya ninawa,Ninawa lamaya,word_order_error
Mala pipila,Pipila mala,word_order_error
Ira eliya,Eliya ira,word_order_error
Sanda penenava,Penenava sanda,word_order_error
Gaha sallenava,Sallenava gaha,word_order_error
Dola galanne,Galanne dola,word_order_error
Vas vahinava,Vahinava vas,word_order_error
Sulan hamanava,Hamanava sulan,word_order_error
Balla bonava,Bonava balla,word_order_error

